,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
0,0.06977279268459861,,,0.7683250896434703,0.06977279268459861,,,,,0.06977279268459861,0.013897832689208668,,0.0013897832689208668,0.0027795665378417336,0.004169349806762601
1,0.04419790574592105,,,0.8532004461342686,0.04419790574592105,,,,,0.04419790574592105,0.008803647892480209,,0.0008803647892480209,0.0017607295784960418,0.002641094367744063
2,0.06041148369625239,,,0.7993924581722747,0.06041148369625239,,,,,0.06041148369625239,0.012033181711855152,,0.001203318171185515,0.00240663634237103,0.0036099545135565457
3,0.0665804274123079,,,0.7789195896772027,0.0665804274123079,,,,,0.0665804274123079,0.013261955053671086,,0.0013261955053671085,0.002652391010734217,0.003978586516101326
4,0.05279064596459348,,,0.8246837261565281,0.05279064596459348,,,,,0.05279064596459348,0.010515209968557237,,0.0010515209968557236,0.0021030419937114473,0.0031545629905671713
5,0.047987085708367,,,0.8406252976735333,0.047987085708367,,,,,0.047987085708367,0.00955840325085359,,0.0009558403250853589,0.0019116806501707178,0.0028675209752560774
6,0.054172562151066334,,,0.8200975620319897,0.054172562151066334,,,,,0.054172562151066334,0.010790469696757116,,0.0010790469696757114,0.002158093939351423,0.003237140909027135
7,0.04519842257974317,,,0.8498800317312915,0.04519842257974317,,,,,0.04519842257974317,0.009002937830924453,,0.0009002937830924452,0.0018005875661848904,0.0027008813492773362
8,0.047830023350572216,,,0.8411465403926539,0.047830023350572216,,,,,0.047830023350572216,0.00952711847226845,,0.000952711847226845,0.00190542369445369,0.0028581355416805354
9,0.04588406996880887,,,0.847604574298636,0.04588406996880887,,,,,0.04588406996880887,0.009139509871835913,,0.0009139509871835913,0.0018279019743671827,0.0027418529615507743
10,0.041082810702972844,,,0.8635385095207032,0.041082810702972844,,,,,0.041082810702972844,0.008183161481486461,,0.000818316148148646,0.001636632296297292,0.0024549484444459386
11,0.06687653276167305,,,0.7779369050950006,0.06687653276167305,,,,,0.06687653276167305,0.013320935387487721,,0.001332093538748772,0.002664187077497544,0.003996280616246317
12,0.05310361063866526,,,0.8236450905471289,0.05310361063866526,,,,,0.05310361063866526,0.010577548460547145,,0.0010577548460547145,0.002115509692109429,0.003173264538164144
13,0.06941271523873917,,,0.7695200783702982,0.06941271523873917,,,,,0.06941271523873917,0.01382610994592772,,0.001382610994592772,0.002765221989185544,0.004147832983778316
14,0.04942557754408411,,,0.8358513759878445,0.04942557754408411,,,,,0.04942557754408411,0.009844932112439517,,0.0009844932112439517,0.0019689864224879034,0.0029534796337318554
15,0.03312677939689399,,,0.889942184147869,0.03312677939689399,,,,,0.03312677939689399,0.006598423538405714,,0.0006598423538405714,0.0013196847076811429,0.0019795270615217144
16,0.031315685126815235,,,0.895952661229545,0.031315685126815235,,,,,0.031315685126815235,0.00623767711875588,,0.000623767711875588,0.001247535423751176,0.0018713031356267643
17,0.06028853065138349,,,0.7998005023423193,0.06028853065138349,,,,,0.06028853065138349,0.012008691064706468,,0.0012008691064706468,0.0024017382129412936,0.0036026073194119408
18,0.05663762143494156,,,0.8119167717907062,0.05663762143494156,,,,,0.05663762143494156,0.01128147744029324,,0.0011281477440293237,0.0022562954880586475,0.003384443232087972
19,0.04693620507466663,,,0.8441128543782203,0.04693620507466663,,,,,0.04693620507466663,0.009349081498612459,,0.0009349081498612458,0.0018698162997224917,0.002804724449583738
20,0.055537433520165935,,,0.8155679645290104,0.055537433520165935,,,,,0.055537433520165935,0.011062334319057442,,0.0011062334319057441,0.0022124668638114882,0.003318700295717233
21,0.04048678955909294,,,0.8655165244063274,0.04048678955909294,,,,,0.04048678955909294,0.008064441822746155,,0.0008064441822746155,0.001612888364549231,0.002419332546823847
22,0.06539694081316551,,,0.7828472256915923,0.06539694081316551,,,,,0.06539694081316551,0.013026219918069553,,0.0013026219918069553,0.0026052439836139105,0.003907865975420866
23,0.053761752733131864,,,0.8214609149132974,0.053761752733131864,,,,,0.053761752733131864,0.010708641804566916,,0.0010708641804566916,0.0021417283609133832,0.0032125925413700753
24,0.05582672778174624,,,0.8146078838983024,0.05582672778174624,,,,,0.05582672778174624,0.011119957972786853,,0.001111995797278685,0.00222399159455737,0.003335987391836056
25,0.03418373287568835,,,0.8864344734971059,0.03418373287568835,,,,,0.03418373287568835,0.006808954922393208,,0.0006808954922393207,0.0013617909844786415,0.0020426864767179626
26,0.060793550467383925,,,0.7981244934895438,0.060793550467383925,,,,,0.060793550467383925,0.012109284442690294,,0.0012109284442690293,0.0024218568885380587,0.0036327853328070887
27,0.0623588794415601,,,0.7929296374955705,0.0623588794415601,,,,,0.0623588794415601,0.012421077612343272,,0.0012421077612343272,0.0024842155224686544,0.003726323283702982
28,0.058920161885598094,,,0.8043417066528363,0.058920161885598094,,,,,0.058920161885598094,0.011736129806480922,,0.0011736129806480921,0.0023472259612961842,0.0035208389419442766
29,0.04144519525577786,,,0.8623358641999308,0.04144519525577786,,,,,0.04144519525577786,0.008255343770459818,,0.0008255343770459817,0.0016510687540919635,0.0024766031311379455
30,0.04397736031573985,,,0.8539323700741057,0.04397736031573985,,,,,0.04397736031573985,0.008759718111671758,,0.0008759718111671759,0.0017519436223343518,0.002627915433501528
31,0.03445703409196529,,,0.8855274689728437,0.03445703409196529,,,,,0.03445703409196529,0.006863392969537802,,0.0006863392969537801,0.0013726785939075603,0.0020590178908613407
