,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
35,8329371.506619834,2103535.399120167,826512.1796010986,857981847285.7365,27511956.22429588,8047009.696193777,26961725.316522636,24956587.10613498,2405351.178709196,1913549.3786854343,8664884.642684536,7924799.414349821,2541170.869404389,2733827.912641254,2628763.4720628974
36,8645054.54844273,2081777.2970428579,835524.436835624,869228927598.1964,26895742.877383873,8121952.660171795,25581217.482306104,26049973.837793022,2637382.341705435,2035622.3255273383,8029245.493017852,9070212.138483832,2657171.292257505,2681177.3488799264,2473372.895599411
37,8359131.673558263,2065098.6996164867,882379.4483127041,932814355273.8433,27410842.17771265,7371679.444477156,26540070.25908688,24627989.912486896,2620360.369498046,1841201.4112899357,8650217.28564406,8681494.289464377,2709530.4142502593,2548446.336646577,2518507.9710969874
38,8101147.35707962,1987093.5577202952,838539.7690026404,834538569333.4448,26878800.902271613,7979074.216967089,27654002.521722943,27173519.468332063,2678121.844913312,2055719.0945691336,9115708.761352947,8751672.652517533,2642974.278118904,2813226.9209816884,2545707.6978953765
39,8286403.183674204,1951196.3423938223,833641.9819534451,896961444756.1431,24523458.794546075,8194095.483345117,24967657.41973249,26595636.180467524,2756070.617516718,2051804.5215753152,9134903.784931691,8580935.095606787,2461895.477736889,2665135.6688372325,2671059.1916255523
40,8932644.321132638,2019259.447339604,886759.2741249681,862535547462.287,26117085.159095634,8215787.905124935,26885132.59267102,25940621.21198003,2714159.067631315,1950342.5682738682,8927631.979849475,9006338.03603473,2725471.9482240784,2400464.696811205,2727281.345737893
41,8367970.455276249,1937325.96115203,863946.2374742224,817402902526.3024,26511926.454180937,8210253.937252792,25718920.07103389,27536206.437212247,2453613.6424533315,1991902.3703044024,8587711.32683373,9214029.839162245,2435628.458454307,2579814.4017393547,2732901.2435851567
42,9081305.852966225,1979373.9883781949,846742.7364386013,843856236108.2909,24033685.326191884,7673430.555144486,27006866.773735013,26767365.445513878,2658931.8428688818,1957292.598367935,8787698.701932032,8940183.871344093,2737220.5773046063,2514852.874953889,2670786.7848105906
43,8446299.447808458,2121616.445867217,911179.4597461238,850991392254.9482,25337938.48080417,8009267.871003358,24943675.83576669,25327030.419272028,2563631.2039180906,1903854.5381567334,8829714.635106836,8190288.4457807345,2557081.4764980595,2634803.711541838,2434768.6476822156
44,8779121.80654727,1878774.100474352,880524.3309222693,864047500870.6648,25604582.07061342,7495320.842347151,25722210.419529,26047311.50413513,2581451.1968327155,1839772.3484595038,8706970.473572843,8298204.741461498,2403669.361728325,2460076.579914373,2574023.3420778606
45,8880954.643916003,1908942.3078524289,834145.411538248,904444083117.9564,26837259.21843562,8001090.66867487,24190311.628487777,25539473.09759872,2520385.473376275,2061174.4058591237,9218283.53825891,8931467.409362713,2619092.1694528623,2695745.253903229,2482368.8056408814
46,8425800.394324573,2049560.339791451,903066.3629961562,830995965351.2821,25117522.784597438,7770771.044296426,24054699.379894994,25596552.67118552,2424798.4766912404,1892442.293504358,8405287.421670545,9149450.563525919,2415160.91902377,2645917.4984885314,2579079.9692941513
47,9146743.109132264,2043503.733421215,815789.3710232064,852805116222.0122,24984133.716285724,8124689.786355624,24736356.98674642,28088954.915759057,2647565.222148923,2110688.16181941,7995119.356656468,8553818.36796079,2820853.7289947253,2731297.4407251836,2537421.73818139
