,Teslin_Df,Pelly_Df,White+Donjec_Df,Stewart_Df,Porcupine_Df,Tanana_Df,Koyukuk_Df
0,0.0,0.2719324851054888,0.06879140787815653,0.1736722916238614,0.09220953055756377,0.18992677152552906,0.05564300895061984
1,0.0,0.2900223964207241,0.0644349851512246,0.1622281323211538,0.09550020165038113,0.17763544269228387,0.059151592269891896
2,0.0,0.3046556618879946,0.06338753403177702,0.16728876288347205,0.08993813680640621,0.1814359801773887,0.05950659078963591
3,0.0,0.287349803108881,0.06864989260809545,0.1672533408054234,0.08908073514965313,0.1696193451252475,0.06101024779831292
4,0.0,0.2742605395498605,0.06239615985299454,0.17617829389302056,0.0932068797028165,0.17909785956483107,0.05996393053725102
5,0.0,0.30507189708849386,0.06258759606265321,0.17333975443392763,0.0921453898749886,0.18023899222688666,0.06107810392143656
6,0.0,0.28099622220691123,0.06177385408869037,0.17100552186341894,0.08620557237020968,0.18930413237002636,0.05718364091429593
7,0.0,0.28881930078589135,0.06266676365961149,0.16069077707184526,0.09691670651719418,0.1900152194054083,0.062398602186076534
8,0.0,0.265676152428209,0.062166567085952314,0.1684910916324194,0.08510205718974431,0.17740912299119263,0.05927774209708532
9,0.0,0.29141095111438364,0.06861439122591954,0.18472321855948395,0.0881416727163047,0.1809362634064835,0.062413112948751084
10,0.0,0.27203380210515293,0.06875103300195942,0.1770116731927259,0.0876442871246562,0.1797934602342265,0.06300537217652306
11,0.0,0.27919283529191175,0.06557606419522063,0.18486579448863122,0.09306987852250445,0.17445286940535326,0.0615368632025993
12,0.0,0.30094811612929445,0.06542942899636664,0.16097446431772824,0.09762493005574674,0.18486937110171814,0.061791507538994164
13,0.0,0.30607634969361047,0.06298798570014098,0.1752466845757769,0.08873420073070164,0.17033267211839068,0.05545115551206861
14,0.0,0.2700778438229371,0.06284866225544228,0.17086267207165007,0.09008409787908299,0.19293422082957917,0.06494478082407001
15,0.0,0.29468337365288566,0.06420835137275237,0.16286649821704435,0.09016610634166987,0.1813548907875263,0.05931965096198605
16,0.0,0.27775032817524226,0.06327265332115478,0.159589314749995,0.09356175695169186,0.18552153213867495,0.061034447898990964
17,0.0,0.2835454263214168,0.06366159465648132,0.168938893889311,0.09118397419009794,0.16534251688731993,0.05461204848774704
18,0.0,0.2783225851470821,0.05898995779290377,0.16678033651764035,0.0863503722669369,0.1815004144378169,0.0598828178110626
19,0.0,0.28971150033148996,0.06922253281573476,0.17925908030154136,0.08732714615956977,0.1788911121488991,0.05570971049275499
20,0.0,0.29445036370686395,0.06789355062145574,0.16963106236342,0.09584542930956859,0.16598426472359923,0.06020961058710688
21,0.0,0.3031348952483218,0.06445352272826171,0.1682128766242096,0.09123399807422948,0.17088096377341502,0.060431912865912076
22,0.0,0.29242331884298384,0.06662738593491006,0.16700528308304738,0.0896557407510102,0.18400499095737907,0.059495699653766214
23,0.0,0.2779462133671147,0.06474934562023457,0.16281718856997532,0.09065688795848328,0.19143838472232866,0.0649264404153107
24,0.0,0.2666439802428459,0.061151046056393404,0.1611266880854837,0.09534606649845466,0.19064340286031992,0.05850398009758673
25,0.0,0.2833241586499218,0.06795208139263337,0.1712517875321031,0.08998620155623249,0.17824668473832037,0.05919956286039958
26,0.0,0.2755318513284391,0.06513640116698491,0.17927208071199632,0.08749335200693055,0.19773229998395453,0.058149746858632514
27,0.0,0.2996794384425841,0.06413822338300651,0.16061515549705133,0.09795458811097446,0.17278648719875458,0.0643875107017933
28,0.0,0.2856800294251389,0.06316392807816514,0.17006963038283981,0.09192687128009483,0.17981952915038407,0.057163827717157153
29,0.0,0.2841101414239192,0.06329086569579782,0.1712768333236107,0.09608790294310544,0.19550395672172285,0.059875254846355065
30,0.0,0.27825264573179176,0.06310477908680712,0.15807145963789068,0.09407016033689873,0.17795276320004605,0.05808377644896237
31,0.0,0.30657582824900004,0.062071914234204544,0.16694917334023596,0.08530928276348959,0.17878696413197046,0.059833798300298564
32,0.0,0.28282634368791104,0.0670983364770356,0.16074520532611675,0.0903211110807149,0.17846142494248948,0.0614312192766194
