,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
81,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
82,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
83,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
84,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
85,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
86,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
87,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
88,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
89,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
90,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
91,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
92,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
93,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
94,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
95,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
96,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
97,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
98,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
99,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
100,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
101,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
102,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
103,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
104,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
105,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
106,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
107,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
108,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
109,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
110,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
111,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
112,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
113,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
114,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
115,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
116,0.1,,,0.1,,,,,,,1.0,1.0,0.33,0.33,0.33
