,Teslin_V100 / ms-1,Teslin_V1 / ms-1,Pelly_V100 / ms-1,Pelly_V1 / ms-1,White+Donjec_V100 / ms-1,White+Donjec_V1 / ms-1,Stewart_V100 / ms-1,Stewart_V1 / ms-1,Porcupine_V100 / ms-1,Porcupine_V1 / ms-1,Tanana_V100 / ms-1,Tanana_V1 / ms-1,Koyukuk_V100 / ms-1,Koyukuk_V1 / ms-1,Yukon_V100 / ms-1,Yukon_V1 / ms-1,Yukon_V2 / ms-1,Yukon_V3 / ms-1,Yukon_V4 / ms-1,Yukon_V5 / ms-1,Yukon_V6 / ms-1,Yukon_V7 / ms-1,Yukon_V8 / ms-1
0,0.1,0.5466593798778777,0.1,0.6937318782723941,0.1,0.4971488798527517,0.1,0.5464793939196994,0.1,0.7131016175303015,0.1,0.8685847090641333,0.1,0.6807082050094071,0.1,0.9122276775621669,0.9122276775621669,0.9122276775621669,0.9122276775621669,0.9122276775621669,0.9122276775621669,0.9122276775621669,0.9122276775621669
1,0.1,0.57387714187209,0.1,0.7330892592258577,0.1,0.527066592828634,0.1,0.5730145980258969,0.1,0.7212934870484478,0.1,0.9134830862427508,0.1,0.7256214825372272,0.1,0.826360103762515,0.826360103762515,0.826360103762515,0.826360103762515,0.826360103762515,0.826360103762515,0.826360103762515,0.826360103762515
2,0.1,0.5678668421548124,0.1,0.7341390764583272,0.1,0.5276858808183531,0.1,0.5370765381006621,0.1,0.7283397716859086,0.1,0.9919443939760823,0.1,0.751548896508591,0.1,0.9455195425384165,0.9455195425384165,0.9455195425384165,0.9455195425384165,0.9455195425384165,0.9455195425384165,0.9455195425384165,0.9455195425384165
3,0.1,0.5595902572567836,0.1,0.6787263847597076,0.1,0.5499249351618212,0.1,0.5397397823472667,0.1,0.7265960669217615,0.1,0.8521159781818258,0.1,0.7126663949148766,0.1,0.8286785289885948,0.8286785289885948,0.8286785289885948,0.8286785289885948,0.8286785289885948,0.8286785289885948,0.8286785289885948,0.8286785289885948
4,0.1,0.5766138589969227,0.1,0.7203889425827193,0.1,0.5044790937845998,0.1,0.5493223740611967,0.1,0.6902427484778729,0.1,0.9040479121690123,0.1,0.7522392449664762,0.1,0.8248373162378877,0.8248373162378877,0.8248373162378877,0.8248373162378877,0.8248373162378877,0.8248373162378877,0.8248373162378877,0.8248373162378877
5,0.1,0.5342184419035534,0.1,0.7183178823762786,0.1,0.5295948387419122,0.1,0.5618537691498039,0.1,0.7281899153960425,0.1,0.9179272581665168,0.1,0.6856597753003961,0.1,0.8328697998043757,0.8328697998043757,0.8328697998043757,0.8328697998043757,0.8328697998043757,0.8328697998043757,0.8328697998043757,0.8328697998043757
6,0.1,0.5969021285372412,0.1,0.7014317010434451,0.1,0.5538718605897144,0.1,0.544358756069758,0.1,0.7276564751961011,0.1,0.9167494113514604,0.1,0.7198858973068705,0.1,0.8854955409212252,0.8854955409212252,0.8854955409212252,0.8854955409212252,0.8854955409212252,0.8854955409212252,0.8854955409212252,0.8854955409212252
7,0.1,0.5305784564511636,0.1,0.7121184190623588,0.1,0.5284398170804958,0.1,0.5129264351557351,0.1,0.7210984782640151,0.1,0.9103288628951887,0.1,0.747043665839083,0.1,0.8925042836085095,0.8925042836085095,0.8925042836085095,0.8925042836085095,0.8925042836085095,0.8925042836085095,0.8925042836085095,0.8925042836085095
8,0.1,0.5906848221974375,0.1,0.7501708340568851,0.1,0.4882094624048052,0.1,0.5259449819826677,0.1,0.7376188979522855,0.1,0.9013958819594727,0.1,0.667666715922079,0.1,0.8496309455938353,0.8496309455938353,0.8496309455938353,0.8496309455938353,0.8496309455938353,0.8496309455938353,0.8496309455938353,0.8496309455938353
9,0.1,0.5904983442965482,0.1,0.7199967280359852,0.1,0.5560629133519833,0.1,0.5461476687538391,0.1,0.7483175389067762,0.1,0.9071482631290222,0.1,0.6672164148156662,0.1,0.8567022987282965,0.8567022987282965,0.8567022987282965,0.8567022987282965,0.8567022987282965,0.8567022987282965,0.8567022987282965,0.8567022987282965
