Teslin_V1_ms_1,Pelly_V1_ms_1,White_Donjec_V1_ms_1,Stewart_V1_ms_1,Porcupine_V1_ms_1,Tanana_V1_ms_1,Koyukuk_V1_ms_1,Yukon_V8_ms_1,Yukon_Flowtime_days,Pelly_Df,White+Donjec_Df,Stewart_Df,Porcupine_Df,Tanana_Df,Koyukuk_Df,Protein_turnovertime_seconds,Polypeptide_turnovertime_seconds,Amino_acid_turnovertime_seconds,Heteroploycondensate(HPC)_turnovertime_seconds,Polysaccharides_turnovertime_seconds,Oligosaccharides_turnovertime_seconds,Humic_acid_turnovertime_seconds,Monosaccharides_turnovertime_seconds,Inorganic_carbon_turnovertime_seconds,Lipids_turnovertime_seconds,Pigments_turnovertime_seconds,Porphyrin_turnovertime_seconds,V-Phenol_turnovertime_seconds,S-Phenol_turnovertime_seconds,C-Phenol_turnovertime_seconds,Protein_fraction,Heteroploycondensate(HPC)_fraction,Polysaccharides_fraction,Lipids_fraction,Pigments_fraction,V-Phenol_fraction,S-Phenol_fraction,C-Phenol_fraction,Teslin_DOC_micromolar,Pelly_DOC_micromolar,White_Donjec_DOC_micromolar,Stewart_DOC_micromolar,Porcupine_DOC_micromolar,Tanana_DOC_micromolar,Koyukuk_DOC_micromolar
0.5747862624440017,0.752396041326675,0.5378517533874678,0.588243807523859,0.7739058187367083,0.9263292740888879,0.7804208181048298,0.8655742213851819,45.48611111111111,0.2952693235681787,0.06321916849149842,0.17308498014048412,0.09339780783105979,0.1791860197013619,0.05673763181679763,8491280.433819365,1938482.529840345,853079.6715879929,934530841209.0835,24698447.456284348,7667172.524671427,23471236.7035909,24455747.505505033,2630448.968477356,1854545.3863566543,8921825.988899784,8704688.91589184,2567264.80004401,2553548.369051137,2579902.936302229,0.03766359018765744,0.8748858738650264,0.03766359018765744,0.03766359018765744,0.007502097232500873,0.0007502097232500873,0.0015004194465001745,0.002250629169750262,415.33764021073256,670.6396927740111,689.7222395010369,712.4958436174679,518.8605927969527,296.69791432016626,189.8448679289944
0.5613190149911477,0.7172902288029249,0.5477506481187469,0.5524369607983871,0.677473991922012,0.8946720902154008,0.7427767609790993,0.7886828503131909,48.61111111111111,0.288985695207537,0.06610390048976877,0.16542471223387284,0.09610933653540621,0.18445326719874836,0.06001781500794257,8284101.431249627,1942482.6077234556,813587.2597646305,810497376447.4443,26253609.05559385,7770226.536369622,23993107.575928636,25737166.975937687,2504566.647104234,2014848.1572149387,7965148.717359435,8397652.540823607,2598070.539703217,2695638.4568868023,2554959.828271227,0.04202675574835667,0.8604058398660229,0.04202675574835667,0.04202675574835667,0.008371183055566977,0.0008371183055566978,0.0016742366111133955,0.0025113549166700935,390.4853115360912,684.7569634636245,666.0402904153608,704.7050998680968,487.9017314185411,309.08732883095735,189.42967794652662
0.5730689553408208,0.6943623835720364,0.5439712227780307,0.5534726415442952,0.6885726495326839,0.8678834569624171,0.7032603824564336,0.9115649069673526,43.75,0.280636453545431,0.0680531719252785,0.17228547498116817,0.08708978067849221,0.16664803003608203,0.05927667591974271,8862342.273093194,1999508.638419688,862011.238502424,898773120606.2715,26920728.230525788,8067657.394849042,26449481.20742697,26832294.99295407,2534489.232772677,1987080.0631802834,8475200.41428515,8983133.6614239,2778837.1054474283,2532169.0814861413,2520925.3168582534,0.050624232188734124,0.8318734017931605,0.050624232188734124,0.050624232188734124,0.01008368852539826,0.001008368852539826,0.002016737705079652,0.0030251065576194784,376.4376608147745,647.6871648783325,628.0913503899582,683.4250567375975,475.6126345765119,307.942244151145,207.15940790847245
0.5796933642436,0.7570976021997179,0.544195396440637,0.5461350478267697,0.7334994195369539,0.9195134526094845,0.7505303212015884,0.8975285107884385,44.21296296296296,0.296555388309018,0.06421759523134525,0.1707641691259898,0.09553560925158625,0.18653034258771736,0.059002621789969116,8855590.385967724,2049145.1232219187,856193.3068429014,817108869365.9617,25198098.766188692,7559246.711560739,24797506.80791197,26498551.344098166,2581374.112944703,1936989.2965598055,8784460.212394312,9095960.769962562,2690156.349609801,2615363.008694389,2527126.419940308,0.04469385657018137,0.8515545345370079,0.04469385657018137,0.04469385657018137,0.00890243484528003,0.000890243484528003,0.001780486969056006,0.0026707304535840094,373.5079056175889,672.7316312057104,710.7612463228409,629.9896773260227,500.5194323971121,324.27818070005094,182.72198963463333
0.5563892832203959,0.6935658660990737,0.5052788226942468,0.5441323491441329,0.7798965317469349,0.9084380629586711,0.7295493913514404,0.8130440049672426,47.800925925925924,0.2957533442309937,0.06454905287507766,0.17915435963612966,0.08599696676895464,0.1684284428421326,0.059744337380817664,9106249.89230408,1984674.1855321254,840318.0380255409,882081626665.1877,26156016.66336524,7631298.166910866,25834046.751259334,27079371.08505367,2560331.880910843,1858988.3928418604,8839577.54484391,8787344.228963975,2656393.293229644,2657826.733077023,2694594.4607480564,0.06455379004912377,0.7856453894467291,0.06455379004912377,0.06455379004912377,0.012858275253687258,0.0012858275253687258,0.0025716550507374515,0.0038574825761061777,397.93288630831523,723.8298189953445,672.2372425227456,741.945990883805,550.4986341475819,304.743339862378,189.20874620123584
0.5881857771096719,0.7765451486195125,0.5442892642113333,0.5531635355008371,0.7073011265778919,0.928628059355446,0.7297657661703925,0.8870520144061383,44.675925925925924,0.2979927789656182,0.06272757743729777,0.15874339225274253,0.08979983462360562,0.17438412072343512,0.05890143631738985,8977740.128049951,1871405.3011438283,928848.4860087296,886974953687.2062,27363675.754385296,7643438.296340611,27878453.973005425,26067375.3613727,2581576.331824481,2001057.105925727,8922096.655613428,8644353.011295147,2480327.711782559,2635927.285219278,2539658.5019805017,0.0385599280870517,0.8719111980070366,0.0385599280870517,0.0385599280870517,0.007680636082380217,0.0007680636082380216,0.0015361272164760432,0.002304190824714065,394.77387763119054,642.0177399937759,681.997463704294,702.0760825740681,513.0706435215017,291.6232647244075,195.00461478657056
0.5127048231195024,0.7463744862914756,0.4975289838571692,0.5435383432917895,0.7340742149098172,0.9469713679855651,0.7765879723338682,0.8985993518290998,44.21296296296296,0.2953944347970444,0.0668965621399439,0.16554643511899297,0.09695192583886734,0.17578047241761796,0.05752297560387476,8363923.3867412135,2002783.3232984133,879333.404870551,872272916344.9364,25197014.916159112,7995414.340635979,26117714.95267733,24728080.444227565,2564210.442893465,1891770.7836987975,8637208.969013764,8746617.139790937,2510556.6427290402,2678767.1691665906,2558992.2900563804,0.04931908987442847,0.8362047765305554,0.04931908987442847,0.04931908987442847,0.009823721153849573,0.0009823721153849573,0.0019647442307699145,0.002947116346154872,358.60044944253883,718.5579722083027,610.7411130996446,712.029270188883,517.8338489368721,308.0822947003376,206.9402562365923
0.5350313999269515,0.6984148535798735,0.5131001043395359,0.5234769542580786,0.6536488528612191,0.9171811459595153,0.7335906721499519,0.8943112507953155,44.3287037037037,0.2965450931967606,0.06865458991927431,0.1722136403058209,0.08955797551084808,0.18105852616493334,0.065559672821504,8337620.948792063,2044699.659257049,873412.8799806994,870106613717.6504,24657311.71116202,8219975.130504934,24073790.907451116,27075811.296116214,2616885.57582602,1988498.9482994128,8570874.204090191,8282986.850413225,2816447.7252377653,2739045.7116662194,2545814.881482657,0.05509104522933361,0.8170493929868783,0.05509104522933361,0.05509104522933361,0.010973419578200598,0.0010973419578200598,0.0021946839156401195,0.0032920258734601797,377.90307954010706,690.4849048967246,710.9452553509956,711.4831921483648,499.78423460010714,341.6432201957093,195.71322452758628
0.5179010964124727,0.7656643345899508,0.5214830708342288,0.5835865794825196,0.7375451812791051,0.8920163939325324,0.7274859651957144,0.8471634020438766,46.18055555555555,0.29671040288658146,0.0650513704744671,0.17216279551000924,0.09107256103513542,0.17661037566151244,0.05856659229236053,9025569.137685347,1954271.5354662105,893178.386295496,858715028992.6157,26135362.75741536,8256946.546668537,25923941.02761611,27569894.864237294,2521545.7362722107,2087393.3982371155,8787855.759473857,8790047.713525578,2549402.3602827936,2539863.363683349,2516406.523395932,0.05421882291770587,0.8199440364633535,0.05421882291770587,0.05421882291770587,0.010799684239705641,0.001079968423970564,0.002159936847941128,0.0032399052719116923,409.6693894296978,706.9917885492084,657.4352248974245,630.844974478564,506.69285505802856,316.3329935029475,182.2627331072737
0.5480043516922101,0.693783708027036,0.480702743482855,0.5207657502560822,0.7541789296942101,0.872140253451746,0.7533663448061645,0.9061692949248417,43.98148148148148,0.29773670079382236,0.06830916241137215,0.16584374573216248,0.09358280218926239,0.1822059825868636,0.06026045567159416,7916546.794699035,2108510.958235947,803508.1533099025,887280162680.5461,25374403.001698446,7621425.681371232,26713411.131601572,25878128.056637682,2522929.7145927395,2126138.2043022225,8811264.785595885,8456114.142114595,2652801.5275746314,2385301.3482259805,2382281.846281969,0.04704623131110963,0.8437477103967891,0.04704623131110963,0.04704623131110963,0.00937099729367631,0.0009370997293676309,0.0018741994587352618,0.0028112991881028932,377.31438535640825,700.9340566483584,627.1558491213901,629.7329809249081,493.5081249465653,311.3672468292567,195.92107516442286
