,Protein,Polypeptide,Amino acid,Heteroploycondensate(HPC),Polysaccharides,Oligosaccharides,Humic acid,Monosaccharides,Inorganic carbon,Lipids,Pigments,Porphyrin,V-Phenol,S-Phenol,C-Phenol
0,0.03766359018765744,,,0.8748858738650264,0.03766359018765744,,,,,0.03766359018765744,0.007502097232500873,,0.0007502097232500873,0.0015004194465001745,0.002250629169750262
1,0.04202675574835667,,,0.8604058398660229,0.04202675574835667,,,,,0.04202675574835667,0.008371183055566977,,0.0008371183055566978,0.0016742366111133955,0.0025113549166700935
2,0.050624232188734124,,,0.8318734017931605,0.050624232188734124,,,,,0.050624232188734124,0.01008368852539826,,0.001008368852539826,0.002016737705079652,0.0030251065576194784
3,0.04469385657018137,,,0.8515545345370079,0.04469385657018137,,,,,0.04469385657018137,0.00890243484528003,,0.000890243484528003,0.001780486969056006,0.0026707304535840094
4,0.06455379004912377,,,0.7856453894467291,0.06455379004912377,,,,,0.06455379004912377,0.012858275253687258,,0.0012858275253687258,0.0025716550507374515,0.0038574825761061777
5,0.0385599280870517,,,0.8719111980070366,0.0385599280870517,,,,,0.0385599280870517,0.007680636082380217,,0.0007680636082380216,0.0015361272164760432,0.002304190824714065
6,0.04931908987442847,,,0.8362047765305554,0.04931908987442847,,,,,0.04931908987442847,0.009823721153849573,,0.0009823721153849573,0.0019647442307699145,0.002947116346154872
7,0.05509104522933361,,,0.8170493929868783,0.05509104522933361,,,,,0.05509104522933361,0.010973419578200598,,0.0010973419578200598,0.0021946839156401195,0.0032920258734601797
8,0.05421882291770587,,,0.8199440364633535,0.05421882291770587,,,,,0.05421882291770587,0.010799684239705641,,0.001079968423970564,0.002159936847941128,0.0032399052719116923
9,0.04704623131110963,,,0.8437477103967891,0.04704623131110963,,,,,0.04704623131110963,0.00937099729367631,,0.0009370997293676309,0.0018741994587352618,0.0028112991881028932
10,0.06776333382150108,,,0.7749938791387257,0.06776333382150108,,,,,0.06776333382150108,0.013497574622981923,,0.0013497574622981922,0.0026995149245963843,0.004049272386894578
11,0.039637661336419036,,,0.8683345255485672,0.039637661336419036,,,,,0.039637661336419036,0.00789530652635989,,0.0007895306526359889,0.0015790613052719777,0.002368591957907967
12,0.0545092862625992,,,0.818980075996805,0.0545092862625992,,,,,0.0545092862625992,0.010857540759623419,,0.0010857540759623419,0.0021715081519246837,0.003257262227887026
13,0.03827916515693756,,,0.8728429657149439,0.03827916515693756,,,,,0.03827916515693756,0.007624711758902196,,0.0007624711758902196,0.0015249423517804392,0.002287413527670659
14,0.057444938095216544,,,0.8092375306466066,0.057444938095216544,,,,,0.057444938095216544,0.01144228441733988,,0.001144228441733988,0.002288456883467976,0.0034326853252019647
15,0.06250452659610686,,,0.7924462784021885,0.06250452659610686,,,,,0.06250452659610686,0.012450088630931855,,0.0012450088630931856,0.002490017726186371,0.0037350265892795572
16,0.048671158879077143,,,0.8383550645980546,0.048671158879077143,,,,,0.048671158879077143,0.009694661727946259,,0.0009694661727946259,0.0019389323455892519,0.0029083985183838783
17,0.03488998100378043,,,0.8840906484085922,0.03488998100378043,,,,,0.03488998100378043,0.0069496303625416304,,0.000694963036254163,0.001389926072508326,0.0020848891087624894
18,0.05084862800138818,,,0.8311286995921411,0.05084862800138818,,,,,0.05084862800138818,0.010128385252309028,,0.0010128385252309029,0.0020256770504618058,0.003038515575692709
19,0.047195701127620865,,,0.8432516650382534,0.047195701127620865,,,,,0.047195701127620865,0.00940076973680253,,0.0009400769736802529,0.0018801539473605059,0.0028202309210407592
20,0.04828747864244477,,,0.8396283838874313,0.04828747864244477,,,,,0.04828747864244477,0.00961823761577152,,0.000961823761577152,0.001923647523154304,0.0028854712847314564
21,0.05059224795740632,,,0.8319795478356646,0.05059224795740632,,,,,0.05059224795740632,0.010077317682572804,,0.0010077317682572803,0.0020154635365145605,0.0030231953047718417
22,0.0335094795467873,,,0.8886721174715564,0.0335094795467873,,,,,0.0335094795467873,0.006674652430051129,,0.0006674652430051128,0.0013349304860102256,0.0020023957290153387
23,0.052303735346436626,,,0.8262996360291429,0.052303735346436626,,,,,0.052303735346436626,0.010418223707217051,,0.0010418223707217053,0.0020836447414434105,0.003125467112165116
24,0.04572004041251584,,,0.8481489390537483,0.04572004041251584,,,,,0.04572004041251584,0.009106837317940148,,0.0009106837317940146,0.0018213674635880292,0.0027320511953820444
25,0.05666545072363346,,,0.8118244147529499,0.05666545072363346,,,,,0.05666545072363346,0.011287020672593656,,0.0011287020672593655,0.002257404134518731,0.003386106201778097
26,0.035018444952181565,,,0.8836643152074756,0.035018444952181565,,,,,0.035018444952181565,0.006975218709987386,,0.0006975218709987385,0.001395043741997477,0.0020925656129962156
27,0.054084841363268236,,,0.8203886809391375,0.054084841363268236,,,,,0.054084841363268236,0.010772996856911153,,0.0010772996856911153,0.0021545993713822306,0.0032318990570733464
28,0.033226621009144953,,,0.8896108398704637,0.033226621009144953,,,,,0.033226621009144953,0.006618310688813426,,0.0006618310688813426,0.0013236621377626851,0.001985493206644028
29,0.03812412019654076,,,0.8733575132989599,0.03812412019654076,,,,,0.03812412019654076,0.0075938288196361675,,0.0007593828819636167,0.0015187657639272334,0.0022781486458908506
30,0.05218349906264894,,,0.826698664086396,0.05218349906264894,,,,,0.05218349906264894,0.010394274203535765,,0.0010394274203535765,0.002078854840707153,0.00311828226106073
31,0.044922457813615584,,,0.8507958757762775,0.044922457813615584,,,,,0.044922457813615584,0.008947969239297414,,0.0008947969239297413,0.0017895938478594826,0.002684390771789224
