Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #5500,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
13.92842393,3.54926258,0.784261401,381.4351155,20.50436977,2.801583544,0.00192455,0.687877342,9.770677879,2.240441281,2.837930641,1.476707484,44.01484535,0.075848987,0.159427406,0.261248702,0.496525095,430.7444231,,,,,,,,,,,,,,,,,,,,,
11.82286328,2.991622455,0.674188667,409.4557931,17.16906804,2.366201218,0.001970058,0.580330995,8.493211586,2.236925887,2.419363206,1.264116537,45.96431345,0.071768353,0.151812061,0.239959183,0.463539597,451.445983,,,,,,,,,,,,,,,,,,,,,
14.71544678,3.548034266,0.827423678,380.8769919,21.28632178,2.992160108,0.001830495,0.726471162,10.33122161,3.017200127,3.100775603,1.457357693,44.30688685,0.084595006,0.187943087,0.301733704,0.574271797,433.1242853,,,,,,,,,,,,,,,,,,,,,
12.63105052,2.867138018,0.683921621,402.8858522,17.53221845,2.678734806,0.001889165,0.626888336,8.519737291,1.995106269,2.432266469,1.321637516,45.45172447,0.077999634,0.129991209,0.234827997,0.44281884,446.0995222,,,,,,,,,,,,,,,,,,,,,
14.18828719,3.142413123,0.668381876,384.1006515,19.35125627,2.67029085,0.001754369,0.621530619,9.702560253,2.419427824,2.840927234,1.319306181,44.16902938,0.099522574,0.171138139,0.27449717,0.545157883,431.8693849,,,,,,,,,,,,,,,,,,,,,
13.78284532,3.424298185,0.700571841,394.7742922,19.0350726,2.661834534,0.001844542,0.593469464,9.778080031,2.695035326,2.794372546,1.287120899,45.10157447,0.084377053,0.17997529,0.233730316,0.498082659,442.2488401,,,,,,,,,,,,,,,,,,,,,
11.36088826,2.858743156,0.573390378,403.9278011,16.40795503,2.360830066,0.001879734,0.578676338,7.938759578,2.152585493,2.349948991,1.195695988,45.21451905,0.077475365,0.13560458,0.211178021,0.424257967,444.1926525,,,,,,,,,,,,,,,,,,,,,
11.56585425,2.782870825,0.602247666,399.3289196,16.26633355,2.266816469,0.001861795,0.506798078,8.507369275,2.172652707,2.240600285,1.187189332,44.66872226,0.072551869,0.140253247,0.246150206,0.458955322,439.3810999,,,,,,,,,,,,,,,,,,,,,
12.5147948,2.692567808,0.573030827,415.7885113,16.82104791,2.181083237,0.001924446,0.522864487,8.15717387,2.051153166,2.420505799,1.140317615,46.54024655,0.078908084,0.140815213,0.232072218,0.451795516,457.1595969,,,,,,,,,,,,,,,,,,,,,
18.4801063,4.443757211,0.927719739,365.956823,26.14755393,3.625771352,0.001713088,0.839766812,12.05681573,3.573477244,3.637341825,1.908956463,44.19479984,0.096435697,0.224319723,0.299876762,0.620632182,430.1636191,,,,,,,,,,,,,,,,,,,,,
10.6211485,2.468533903,0.530039417,411.2620574,14.64142139,2.108508829,0.00187392,0.529364291,7.401779348,1.898864948,1.996320381,1.135349695,45.44086629,0.069330719,0.111061227,0.185897815,0.366289761,447.5597725,,,,,,,,,,,,,,,,,,,,,
19.00369006,4.417143686,0.976150347,368.9671587,26.76173279,3.781185841,0.001690252,0.982534038,13.68139712,3.428594114,3.643822674,2.041461611,44.70941917,0.108083596,0.217680181,0.362266574,0.688030351,434.6931944,,,,,,,,,,,,,,,,,,,,,
15.68775676,4.072846023,0.886857542,393.6324041,22.94222792,2.959232964,0.001767114,0.720878055,11.30551647,2.620448522,3.137869173,1.665972947,45.93701492,0.104359276,0.209085855,0.296120673,0.609565804,448.9378269,,,,,,,,,,,,,,,,,,,,,
16.24588025,4.007239281,0.847296954,381.5878052,23.00583452,3.536025399,0.001974456,0.828675595,11.55397087,2.872024267,3.169449169,1.749513877,44.87579379,0.097410516,0.16291707,0.265315437,0.525643023,438.377362,,,,,,,,,,,,,,,,,,,,,
11.18638074,2.912361947,0.617212688,387.8047949,16.29166993,2.600017274,0.00184531,0.62094281,8.005711444,2.154734116,2.347458279,1.199510085,43.58086218,0.068447842,0.132245935,0.207719113,0.40841289,428.1453409,,,,,,,,,,,,,,,,,,,,,
17.19010678,4.32368152,0.848145943,365.7116857,24.08994031,3.09445935,0.00167092,0.707107176,11.16934325,3.881001215,3.384608546,1.718412834,43.60877786,0.098908754,0.230954059,0.323401497,0.65326431,425.6040847,,,,,,,,,,,,,,,,,,,,,
9.619920106,2.271458451,0.459124116,415.9219179,13.52862462,1.865601415,0.001954671,0.424945458,6.836180539,1.949460993,1.850057666,1.010205737,45.52850087,0.051642068,0.110543668,0.18343143,0.345617166,449.2488884,,,,,,,,,,,,,,,,,,,,,
12.0464118,3.134835814,0.6701126,399.692501,17.25022298,2.420805865,0.001880592,0.528693466,8.378313938,2.490907741,2.514289511,1.178121841,45.00922309,0.07544008,0.134230948,0.223421258,0.433092286,442.3618755,,,,,,,,,,,,,,,,,,,,,
13.13792608,3.260791777,0.741824055,396.4851695,19.23927637,2.703968118,0.001758198,0.60398284,9.998585901,2.944023675,2.657243886,1.403145348,45.1939468,0.075162419,0.168179216,0.275591715,0.51893335,443.6980432,,,,,,,,,,,,,,,,,,,,,
14.78383045,3.547733617,0.728521423,382.9099091,20.47907696,2.946344045,0.001799578,0.675857326,10.57842636,3.202912252,2.947172581,1.479344542,44.37348034,0.087308033,0.19269706,0.258144177,0.53814927,434.2406511,,,,,,,,,,,,,,,,,,,,,
14.56981944,3.476049704,0.653591753,407.7992817,20.12639253,2.909571461,0.001917588,0.679495395,10.24921491,2.942335727,2.911115039,1.41681639,46.73818275,0.087259024,0.172836872,0.265180488,0.525276384,458.0116631,,,,,,,,,,,,,,,,,,,,,
12.26568069,2.778228195,0.606007212,391.1673435,17.20211221,2.403420315,0.001921788,0.593032284,8.69324676,2.153408736,2.321928233,1.309529504,44.12028013,0.076259473,0.13206033,0.232649834,0.440969637,433.2435823,,,,,,,,,,,,,,,,,,,,,
13.58802851,3.25250407,0.636174684,398.1521766,18.64606834,2.704437972,0.001984074,0.677023968,9.585313794,2.755942287,2.584710865,1.37950945,45.29642524,0.077864564,0.161024308,0.24045784,0.479346712,444.8579075,,,,,,,,,,,,,,,,,,,,,
14.51263172,3.482908959,0.771627851,406.6584361,20.55509899,2.725390015,0.001909857,0.599371374,10.49763637,2.944875034,3.009205292,1.361549486,46.6807262,0.085307453,0.188636506,0.310494341,0.5844383,457.207443,,,,,,,,,,,,,,,,,,,,,
15.55651274,3.861179861,0.739956085,389.0077205,21.52148536,2.947681975,0.001767427,0.635083376,11.11975985,3.108818888,3.063755975,1.542584188,45.25089358,0.087892761,0.196923036,0.285275409,0.570091206,442.5566376,,,,,,,,,,,,,,,,,,,,,
15.25750509,3.561071978,0.743915689,376.0208479,21.04978805,3.009577443,0.001734071,0.729757292,10.49313457,3.484414123,3.008480535,1.482342941,43.80763828,0.09231956,0.188539511,0.291806099,0.57266517,428.9221003,,,,,,,,,,,,,,,,,,,,,
11.32606892,2.995893087,0.641097225,386.1105034,16.90383439,2.280665102,0.001827301,0.542771755,7.70075753,2.430723553,2.321050118,1.246634404,43.46334455,0.074383431,0.146831252,0.239399842,0.460614525,427.2616838,,,,,,,,,,,,,,,,,,,,,
12.68798503,3.131150323,0.617942707,405.415416,17.78113891,2.540482515,0.001979006,0.576176908,8.706487432,2.477572417,2.4127377,1.350966904,45.72824311,0.076144851,0.154229673,0.236893375,0.467267899,449.4608163,,,,,,,,,,,,,,,,,,,,,
11.28499727,2.650379093,0.530204855,412.7528056,15.75300029,2.178575464,0.001901923,0.505832284,7.817125942,2.030396505,2.157130135,1.198949714,45.90133655,0.067600699,0.149904994,0.211210711,0.428716404,451.4728895,,,,,,,,,,,,,,,,,,,,,
10.73033947,2.913106697,0.601699049,415.6499002,15.75468941,2.157258635,0.001920396,0.479826963,7.969860336,2.196553998,2.259728599,1.098160546,46.13223008,0.07525777,0.154222373,0.183601595,0.413081738,454.2562657,,,,,,,,,,,,,,,,,,,,,
12.10235847,2.958378414,0.575275462,399.9749819,16.53037729,2.47636394,0.001770286,0.596288018,8.363689445,2.680432142,2.399230129,1.183583022,44.93140018,0.065965748,0.15887054,0.201990949,0.426827237,441.9058663,,,,,,,,,,,,,,,,,,,,,
14.5380477,3.89988873,0.812871244,394.317785,21.61981631,2.974052163,0.001732842,0.76974607,10.60573516,3.134394288,2.965987591,1.585631801,45.63171671,0.096795177,0.209470857,0.283170477,0.589436511,447.2093903,,,,,,,,,,,,,,,,,,,,,
16.12662949,3.936818575,0.754963279,377.7094837,22.42719728,3.000164292,0.00178193,0.708647778,10.25605069,3.064096393,3.155297089,1.596018554,44.34245149,0.108931501,0.217921144,0.302009562,0.628862207,433.1099606,,,,,,,,,,,,,,,,,,,,,
10.92304223,2.687525778,0.576063768,413.2992453,15.42488541,2.146504171,0.001908968,0.497571759,7.755433642,2.117353093,2.19752331,1.086398996,45.84368752,0.071290092,0.152491465,0.192995578,0.416777135,451.3748,,,,,,,,,,,,,,,,,,,,,
