,Teslin_DOC / micromolar,Pelly_DOC / micromolar,White+Donjec_DOC/ micromolar,Stewart_DOC / micromolar,Porcupine_DOC / micromolar,Tanana_DOC / micromolar,Koyukuk_DOC / micromolar
0,409.5022616229215,735.3026679900828,597.414683905804,637.6619605775882,484.94722749240634,318.6775264223283,198.77718604088682
1,389.93693715587534,615.1437808940103,690.01310908297,696.0981667195294,492.6225938181017,329.20103894423914,211.06181410651783
2,356.2571993759995,668.0073682892985,655.5310591187497,659.6438100933599,538.58661540458,287.78080720236323,197.3049981812255
3,382.23392934025145,684.057007772356,665.562927307484,727.6154203846809,506.6259960218966,308.1930635802561,184.21013294435562
