Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #1700,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
19.1678146,4.758856616,0.917037007,375.6210581,27.09007266,3.939645497,0.001791606,0.850859168,13.16724335,3.376700587,3.8465661,1.952662406,45.52283495,0.125744223,0.239502053,0.376326999,0.741573274,442.2646376,,,,,,,,,,,,,,,,,,,,,
12.15089258,3.062072244,0.609654147,418.1287809,17.03575327,2.403304435,0.002064107,0.574146875,8.793914146,2.231008644,2.46048971,1.196738255,46.83455313,0.079170041,0.135094668,0.238334755,0.452599465,460.3075046,,,,,,,,,,,,,,,,,,,,,
16.83644747,4.236658218,0.91231318,377.4691261,24.00686516,3.564229189,0.001785332,0.878424737,12.06756238,2.946201269,3.369438348,1.802547913,44.81096727,0.108920909,0.179171378,0.343494519,0.631586806,436.6556237,,,,,,,,,,,,,,,,,,,,,
12.37500818,3.505899622,0.667281917,401.8272807,18.22274526,2.547789994,0.001969724,0.618229356,9.63807331,2.227626506,2.528447882,1.341931781,45.46406176,0.086817953,0.168521683,0.27027617,0.525615807,446.3898267,,,,,,,,,,,,,,,,,,,,,
8.598991426,2.407416839,0.492719667,418.9591137,12.74309729,1.789544937,0.002014158,0.427259831,6.421979664,1.646092495,1.793405508,0.92880861,45.58301767,0.051396428,0.119735574,0.147028733,0.318160736,450.1066252,,,,,,,,,,,,,,,,,,,,,
17.64465354,4.492379307,0.968657646,366.1296507,25.60840511,3.40231386,0.001760067,0.775744687,12.64185987,3.186253065,3.5076342,1.849528042,43.9608432,0.105062849,0.226039657,0.354505172,0.685607678,428.2525879,,,,,,,,,,,,,,,,,,,,,
11.08568884,2.472516317,0.51986288,408.5532252,14.80186745,2.310515428,0.001956965,0.53892137,7.457657378,2.149972737,2.125654998,1.082558276,45.29129613,0.064294426,0.129545171,0.167346631,0.361186228,446.0039267,,,,,,,,,,,,,,,,,,,,,
9.844685078,2.257454627,0.454261442,423.1878,13.54147363,1.89603713,0.001866931,0.436065725,7.012921351,1.657113849,1.958156702,0.93155565,46.30998084,0.063928652,0.107751905,0.182925425,0.354605982,456.5210768,,,,,,,,,,,,,,,,,,,,,
9.540976647,2.15860649,0.490928115,397.2812424,13.33805255,1.941392328,0.00198892,0.457248142,6.927995495,1.800395473,1.907058609,0.949974534,43.66620819,0.060934565,0.134256539,0.189515406,0.38470651,430.2525707,,,,,,,,,,,,,,,,,,,,,
15.81200475,3.708667724,0.776704503,371.2883367,22.22685402,3.061379433,0.001688124,0.750830108,11.06926647,3.324566313,3.221306342,1.534306524,43.6556618,0.098920979,0.176380318,0.300501094,0.575802391,426.2824469,,,,,,,,,,,,,,,,,,,,,
11.7369646,2.934992875,0.635801161,393.1376044,16.96205607,2.297682823,0.001804236,0.590111747,7.884729199,1.944857139,2.309755807,1.263077429,44.20404647,0.068160403,0.145059111,0.222405744,0.435625259,434.2503335,,,,,,,,,,,,,,,,,,,,,
15.67491953,3.534939371,0.678997587,395.9489033,21.30844869,2.736321173,0.001703452,0.634622787,10.72216116,2.830464014,3.073577952,1.461054304,45.88937643,0.106713737,0.191046825,0.285154273,0.582914835,448.466867,,,,,,,,,,,,,,,,,,,,,
12.0325013,3.0374211,0.661771389,415.3531523,17.2128516,2.584676098,0.001916077,0.656782067,8.097170686,2.345213986,2.510626309,1.229373735,46.62047579,0.071947809,0.130065447,0.228018231,0.430031486,458.0563174,,,,,,,,,,,,,,,,,,,,,
14.78863847,3.688536159,0.741895153,397.2360829,20.74398312,2.968292589,0.001923005,0.712201011,9.672912867,2.418308604,2.977375228,1.470124968,45.83024566,0.083343771,0.184326442,0.278612594,0.546282808,448.293644,,,,,,,,,,,,,,,,,,,,,
